UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,999,332048977,164418227,167630750,125380974,126095964,21688028,23411783,2196437,2150869,9841635,10613650,439528,424897,4871625,4933587,129731643,130478780,23918583,25715867,3589031,3600111,11657429,12416905,862585,849997,132531456,136518099,97570662,99010264,20079327,21760913,1193650,1224571,9507203,10281103,316669,310068,3863945,3931180,101020707,102500107,21832669,23581951,2172805,2264784,11045406,11807762,648077,644616,31886771,31112651,27810312,27085700,1608701,1650870,1002787,926298,334432,332547,122859,114829,1007680,1002407,28710936,27978673,2085914,2133916,1416226,1335327,612023,609143,214508,205381
R,7,2021,0,3572165,1827405,1744760,1257111,1195890,300561,291561,33415,32114,105233,99426,6920,6463,124165,119306,1371313,1305599,369335,357802,56577,54440,151050,143284,15440,14564,1335673,1270467,859680,812555,263269,255287,12397,11922,97671,92129,4035,3777,98621,94797,950913,900221,318715,308711,27042,26064,135529,128388,10215,9665,491732,474293,397431,383335,37292,36274,21018,20192,7562,7297,2885,2686,25544,24509,420400,405378,50620,49091,29535,28376,15521,14896,5225,4899
R,7,2021,1,3708490,1895969,1812521,1315276,1255096,300813,291599,35202,33645,113032,106384,7055,6644,124591,119153,1429876,1364681,369901,357812,58292,55806,159056,150236,15587,14727,1400382,1336494,912270,867625,265249,257344,13744,13237,105335,99095,4324,4011,99460,95182,1004249,955628,321179,310981,28485,27408,143564,135554,10586,9957,495587,476027,403006,387471,35564,34255,21458,20408,7697,7289,2731,2633,25131,23971,425627,409053,48722,46831,29807,28398,15492,14682,5001,4770
R,7,2021,2,3770533,1925618,1844915,1338405,1278650,303245,295947,35913,34534,116095,109524,7290,6851,124670,119409,1453008,1388421,372277,362239,59106,56857,162196,153449,15840,14950,1421351,1358049,927657,881598,267387,261185,14310,13832,108111,101996,4453,4206,99433,95232,1019538,969600,323162,314797,29125,28097,146425,138469,10750,10168,504267,486866,410748,397052,35858,34762,21603,20702,7984,7528,2837,2645,25237,24177,433470,418821,49115,47442,29981,28760,15771,14980,5090,4782
R,7,2021,3,3859993,1973258,1886735,1369980,1306759,310074,302339,36575,34617,122321,114667,7363,6991,126945,121362,1486669,1418304,380006,369572,60206,57283,169526,159434,16121,15269,1461504,1393634,951420,902972,274911,268250,14332,13840,114571,107201,4627,4354,101643,97017,1045321,992583,331623,322724,29476,28382,154007,144503,11121,10471,511754,493101,418560,403787,35163,34089,22243,20777,7750,7466,2736,2637,25302,24345,441348,425721,48383,46848,30730,28901,15519,14931,5000,4798
R,7,2021,4,3939127,2015717,1923410,1404590,1336632,310740,302263,35749,34692,129148,120910,7533,7137,127957,121776,1522115,1448543,380256,369158,59802,57747,177476,166076,16534,15547,1494511,1421474,974342,922757,276090,268619,15406,14776,121364,113507,4829,4491,102480,97324,1068895,1012620,332319,322765,30954,29627,161852,151165,11554,10712,521206,501936,430248,413875,34650,33644,20343,19916,7784,7403,2704,2646,25477,24452,453220,435923,47937,46393,28848,28120,15624,14911,4980,4835
R,7,2021,5,4043522,2066461,1977061,1455935,1387028,311503,305451,35395,34041,127041,119756,7410,7110,129177,123675,1574663,1500721,381462,372955,60052,57664,175606,165755,16477,15682,1531931,1463282,1011282,959630,277420,272405,15929,15328,119233,112410,4689,4495,103378,99014,1106743,1051096,334105,327125,31891,30635,159789,150829,11429,10862,534530,513779,444653,427398,34083,33046,19466,18713,7808,7346,2721,2615,25799,24661,467920,449625,47357,45830,28161,27029,15817,14926,5048,4820
R,7,2021,6,4079836,2083973,1995863,1465528,1399271,317504,309685,35148,34147,129588,121944,7349,7123,128856,123693,1583963,1512982,387338,377150,59880,57842,177840,167935,16393,15678,1550283,1480260,1020974,970149,282891,276104,16274,15603,122110,114752,4703,4535,103331,99117,1116380,1061697,339467,330813,32397,30977,162558,153237,11470,10927,533690,515603,444554,429122,34613,33581,18874,18544,7478,7192,2646,2588,25525,24576,467583,451285,47871,46337,27483,26865,15282,14698,4923,4751
R,7,2021,7,4067803,2082920,1984883,1468998,1393570,318062,309103,35398,34143,125880,119122,7049,6788,127533,122157,1586256,1505852,386710,375872,60056,57695,173847,164269,16129,15355,1551941,1476029,1026569,969899,283227,275655,16629,15903,118716,112338,4579,4394,102221,97840,1121015,1060257,338789,329821,32739,31220,158899,150051,11334,10764,530979,508854,442429,423671,34835,33448,18769,18240,7164,6784,2470,2394,25312,24317,465241,445595,47921,46051,27317,26475,14948,14218,4795,4591
R,7,2021,8,4054677,2072111,1982566,1460049,1392974,315929,307739,35065,33872,128065,120785,7067,6753,125936,120443,1575697,1503505,383265,372968,59544,57399,175828,165763,16237,15322,1545025,1473934,1019442,968135,282121,275037,16786,16037,121132,113986,4645,4370,100899,96369,1112518,1056977,336575,327821,32784,31395,161176,151588,11457,10692,527086,508632,440607,424839,33808,32702,18279,17835,6933,6799,2422,2383,25037,24074,463179,446528,46690,45147,26760,26004,14652,14175,4780,4630
R,7,2021,9,4061828,2078921,1982907,1471619,1399716,317001,306991,36139,34791,122992,116347,6816,6563,124354,118499,1585796,1508490,383718,371002,60694,58230,169662,160437,15786,15087,1546254,1470659,1025945,970827,283532,274953,16852,16175,116200,109809,4412,4236,99313,94659,1117548,1058128,337334,326669,32838,31446,155247,146626,11058,10534,532667,512248,445674,428889,33469,32038,19287,18616,6792,6538,2404,2327,25041,23840,468248,450362,46384,44333,27856,26784,14415,13811,4728,4553
R,7,2021,10,4106688,2106615,2000073,1500327,1419884,319357,308534,34668,33383,120690,113762,6747,6403,124826,118107,1615022,1528305,386166,372180,59578,57159,167360,157529,15790,14866,1559939,1476050,1037705,977239,287328,277222,17145,16226,114037,107421,4379,4139,99345,93803,1129391,1063740,341137,328355,33321,31642,152913,143831,11047,10351,546676,524023,462622,442645,32029,31312,17523,17157,6653,6341,2368,2264,25481,24304,485631,464565,45029,43825,26257,25517,14447,13698,4743,4515
R,7,2021,11,4192907,2147603,2045304,1538474,1459224,324268,313037,34225,33094,119365,113604,6483,6307,124788,120038,1653423,1569540,391234,378052,59339,57582,165355,157332,15318,14747,1584648,1506200,1058401,999519,292773,282787,17318,16992,112959,107566,4357,4202,98840,95134,1149843,1087310,346512,334858,33430,32887,151170,143968,10878,10378,562955,539104,480073,459705,31495,30250,16907,16102,6406,6038,2126,2105,25948,24904,503580,482230,44722,43194,25909,24695,14185,13364,4440,4369
R,7,2021,12,4282766,2192778,2089988,1576911,1496013,333288,322781,34538,33194,118312,113442,6535,6492,123194,118066,1690109,1604652,399556,387016,59519,56707,163316,156103,15172,14800,1621410,1543652,1087913,1028634,301705,292193,17886,17305,111845,107371,4406,4393,97655,93756,1178019,1115283,355041,344041,33928,32368,149309,142993,10786,10533,571368,546336,488998,467379,31583,30588,16652,15889,6467,6071,2129,2099,25539,24310,512090,489369,44515,42975,25591,24339,14007,13110,4386,4267
R,7,2021,13,4445982,2277235,2168747,1641015,1555153,345910,335287,36201,34553,123232,117886,6803,6547,124074,119321,1754932,1664696,412589,400502,61262,58653,168495,160698,15741,14809,1682796,1602685,1130467,1069843,313448,303999,18693,18064,116875,111749,4634,4348,98679,94682,1221411,1157076,367411,356688,34867,33466,154674,147404,11222,10461,594439,566062,510548,485310,32462,31288,17508,16489,6357,6137,2169,2199,25395,24639,533521,507620,45178,43814,26395,25187,13821,13294,4519,4348
R,7,2021,14,4436231,2272689,2163542,1644900,1560397,344088,331666,36519,34579,121073,115055,6703,6584,119406,115261,1754559,1666019,407954,393979,61075,58371,164669,156492,15335,14879,1682461,1599779,1137553,1075506,312289,301226,18567,18087,114616,109088,4593,4416,94843,91456,1225024,1159600,363853,351673,34436,33330,150906,143657,10986,10531,590228,563763,507347,484891,31799,30440,17952,16492,6457,5967,2110,2168,24563,23805,529535,506419,44101,42306,26639,25041,13763,12835,4349,4348
R,7,2021,15,4358940,2230067,2128873,1625480,1542482,330590,322770,35337,33857,118642,114723,6545,6329,113473,108712,1729619,1642203,390416,380669,59190,56604,160456,154299,14722,14117,1657258,1580587,1130913,1069401,300587,293553,18296,17760,112533,109107,4458,4293,90471,86473,1214215,1148998,349144,340580,33742,32412,147606,142145,10548,10032,572809,548286,494567,473081,30003,29217,17041,16097,6109,5616,2087,2036,23002,22239,515404,493205,41272,40089,25448,24192,12850,12154,4174,4085
R,7,2021,16,4313157,2205794,2107363,1613605,1530889,323830,314364,34678,33615,119233,117817,6524,6300,107924,104378,1712391,1626249,379990,369202,57994,55978,159291,156096,14335,13803,1647585,1574449,1130705,1070143,294834,286454,18086,17591,113416,112329,4483,4410,86061,83522,1209769,1146675,340367,331154,33207,32098,147100,144611,10299,10057,558209,532914,482900,460746,28996,27910,16592,16024,5817,5488,2041,1890,21863,20856,502622,479574,39623,38048,24787,23880,12191,11485,4036,3746
R,7,2021,17,4335788,2216048,2119740,1628844,1545807,321533,313457,33966,32997,120941,120096,6339,6047,104425,101336,1724463,1638518,375118,366043,56835,55233,159929,157493,14000,13450,1668595,1594174,1153905,1090152,293464,286537,18013,17384,115213,114711,4447,4208,83553,81182,1230696,1164621,337045,329416,33071,32160,148061,146232,10203,9721,547453,525566,474939,455655,28069,26920,15953,15613,5728,5385,1892,1839,20872,20154,493767,473897,38073,36627,23764,23073,11868,11261,3797,3729
