UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,999,331464948,164195953,167268995,125555812,126168157,21596149,23292017,2170318,2121587,9709968,10474509,432229,417187,4731477,4795538,129775784,130422447,23745309,25516829,3542832,3550382,11472593,12225266,846627,833722,132754631,136646803,98085699,99465257,20028697,21683451,1190448,1219419,9383597,10150118,312371,305478,3753819,3823080,101432230,102853697,21717144,23441514,2158912,2248800,10877799,11633273,637697,633984,31441322,30622192,27470113,26702900,1567452,1608566,979870,902168,326371,324391,119858,111709,977658,972458,28343554,27568750,2028165,2075315,1383920,1301582,594794,591993,208930,199738
R,4.2,2020,0,3734587,1908721,1825866,1327821,1267610,301100,292092,35619,34177,112445,106026,7142,6743,124594,119218,1442412,1377246,370186,358363,58703,56373,158479,149867,15683,14831,1412245,1348001,923851,878528,265726,257944,14071,13593,104644,98609,4383,4131,99570,95196,1015918,966534,321709,311603,28846,27791,142916,135045,10673,10089,496476,477865,403970,389082,35374,34148,21548,20584,7801,7417,2759,2612,25024,24022,426494,410712,48477,46760,29857,28582,15563,14822,5010,4742
R,4.2,2020,1,3777056,1929651,1847405,1343676,1283056,302128,294532,35652,34203,116043,109243,7275,6859,124877,119512,1458496,1392928,371144,360776,58867,56536,162325,153287,15861,14993,1427888,1363071,934778,887867,266453,259974,14251,13836,108161,101751,4478,4223,99767,95420,1026987,976047,322286,313576,29122,28149,146697,138371,10823,10220,501763,484334,408898,395189,35675,34558,21401,20367,7882,7492,2797,2636,25110,24092,431509,416881,48858,47200,29745,28387,15628,14916,5038,4773
R,4.2,2020,2,3873233,1981147,1892086,1377037,1312171,310111,301853,36620,34525,122868,115224,7379,7014,127132,121299,1493881,1423645,379986,368972,60365,57267,170225,159980,16154,15298,1467686,1398293,956129,907043,275412,268132,14642,13999,115047,107771,4645,4373,101811,96975,1050164,996604,332104,322543,29894,28618,154593,145037,11149,10483,513461,493793,420908,405128,34699,33721,21978,20526,7821,7453,2734,2641,25321,24324,443717,427041,47882,46429,30471,28649,15632,14943,5005,4815
R,4.2,2020,3,3966159,2029578,1936581,1418049,1348916,310541,302706,35616,34645,129409,120845,7529,7131,128434,122338,1535999,1461383,380235,369755,59824,57832,177949,166298,16582,15596,1505797,1432673,985074,932712,275793,269154,15552,14949,121646,113461,4831,4490,102901,97907,1080002,1023152,332209,323502,31229,29922,162303,151402,11599,10762,523781,503908,432975,416204,34748,33552,20064,19696,7763,7384,2698,2641,25533,24431,455997,438231,48026,46253,28595,27910,15646,14896,4983,4834
R,4.2,2020,4,4049207,2069539,1979668,1459739,1390580,312772,305914,35177,33874,125652,118621,7387,7064,128812,123615,1578167,1504237,382471,373475,59844,57484,174015,164501,16438,15619,1535128,1465919,1014774,963031,278715,272860,16018,15308,117863,111298,4643,4451,103115,98971,1110033,1054476,335188,327647,32014,30612,158263,149595,11363,10801,534411,513749,444965,427549,34057,33054,19159,18566,7789,7323,2744,2613,25697,24644,468134,449761,47283,45828,27830,26872,15752,14906,5075,4818
R,4.2,2020,5,4077558,2082308,1995250,1465063,1398979,316873,309559,35226,34225,129178,122022,7288,7131,128680,123334,1583360,1512333,386440,376707,59914,57932,177502,167912,16371,15742,1551599,1481648,1023123,971554,282342,276076,16348,15763,121799,114840,4703,4556,103284,98859,1118511,1062840,338732,330539,32471,31170,162342,153253,11512,11004,530709,513602,441940,427425,34531,33483,18878,18462,7379,7182,2585,2575,25396,24475,464849,449493,47708,46168,27443,26762,15160,14659,4859,4738
R,4.2,2020,6,4048205,2073644,1974561,1463541,1388006,317286,307801,35442,34134,123741,116794,6940,6607,126694,121219,1580005,1499379,385561,374129,60036,57596,171242,161509,15976,15084,1545436,1468934,1023205,966919,282782,274600,16705,15952,116690,110122,4506,4270,101548,97071,1117011,1056523,338088,328416,32803,31245,156436,147447,11206,10545,528208,505627,440336,421087,34504,33201,18737,18182,7051,6672,2434,2337,25146,24148,462994,442856,47473,45713,27233,26351,14806,14062,4770,4539
R,4.2,2020,7,4053723,2070243,1983480,1459609,1394038,314772,306937,35081,34120,128277,121384,7095,6799,125409,120202,1574742,1504371,381719,371898,59519,57618,175911,166348,16247,15411,1543797,1474948,1019332,969296,281258,274488,16719,16035,121379,114568,4650,4383,100459,96178,1111969,1057988,335370,327027,32683,31380,161345,152166,11457,10752,526446,508532,440277,424742,33514,32449,18362,18085,6898,6816,2445,2416,24950,24024,462773,446383,46349,44871,26836,26238,14566,14182,4790,4659
R,4.2,2020,8,4072942,2086814,1986128,1480165,1404678,317551,307073,36391,34613,121469,114943,6759,6506,124479,118315,1594473,1513300,384370,370943,61066,58089,168068,158930,15732,15006,1550838,1472502,1031315,974216,284105,275022,17032,16198,114697,108436,4352,4176,99337,94454,1122958,1061353,338006,326606,33101,31491,153602,145130,10986,10438,535976,513626,448850,430462,33446,32051,19359,18415,6772,6507,2407,2330,25142,23861,471515,451947,46364,44337,27965,26598,14466,13800,4746,4568
R,4.2,2020,9,4114076,2109950,2004126,1505275,1425794,319968,308424,34043,33066,119285,112530,6655,6286,124724,118026,1619898,1534135,386723,372074,58968,56966,165847,156090,15689,14718,1562619,1479134,1040567,980528,288585,277889,17110,16454,112744,106354,4370,4136,99243,93773,1132171,1066969,342332,329064,33292,31988,151555,142621,11030,10355,547331,524992,464708,445266,31383,30535,16933,16612,6541,6176,2285,2150,25481,24253,487727,467166,44391,43010,25676,24978,14292,13469,4659,4363
R,4.2,2020,10,4212315,2157337,2054978,1548383,1467556,325935,315219,34070,32891,117946,112718,6464,6295,124539,120299,1663144,1578125,392887,380509,59084,57332,163694,156448,15215,14726,1592210,1513678,1065824,1005549,294316,284876,17621,17110,111545,106613,4345,4192,98559,95338,1157051,1093538,348075,337195,33646,32916,149475,143076,10786,10388,565127,541300,482559,462007,31619,30343,16449,15781,6401,6105,2119,2103,25980,24961,506093,484587,44812,43314,25438,24416,14219,13372,4429,4338
R,4.2,2020,11,4321476,2212693,2108783,1592414,1511461,336734,325954,34845,33330,118870,113405,6643,6529,123187,118104,1705589,1620138,403116,390118,59873,56784,163709,156117,15307,14849,1637523,1559132,1099662,1041030,305041,295160,18053,17432,112405,107342,4514,4432,97848,93736,1189885,1127667,358584,347017,34175,32403,149855,142934,10951,10532,575170,549651,492752,470431,31693,30794,16792,15898,6465,6063,2129,2097,25339,24368,515704,492471,44532,43101,25698,24381,13854,13183,4356,4317
R,4.2,2020,12,4452817,2281163,2171654,1646034,1559356,345646,335014,36170,34698,123298,117441,6754,6562,123261,118583,1759179,1668170,411677,399780,61253,58886,168317,159846,15653,14870,1686778,1605289,1135281,1073242,313405,304051,18600,18210,116954,111408,4578,4355,97960,94023,1225565,1159812,366822,356337,34741,33695,154501,146691,11153,10481,594385,566365,510753,486114,32241,30963,17570,16488,6344,6033,2176,2207,25301,24560,533614,508358,44855,43443,26512,25191,13816,13155,4500,4389
R,4.2,2020,13,4431109,2269113,2161996,1645045,1561633,342507,330600,36536,34586,119756,114617,6657,6484,118612,114076,1753992,1666248,405642,392095,60932,58255,163336,155613,15281,14640,1681205,1599816,1139305,1078069,310950,300166,18729,18035,113359,108685,4559,4329,94303,90532,1226270,1161395,361959,350014,34517,33245,149690,142844,10917,10327,587908,562180,505740,483564,31557,30434,17807,16551,6397,5932,2098,2155,24309,23544,527722,504853,43683,42081,26415,25010,13646,12769,4364,4313
R,4.2,2020,14,4331631,2215768,2115863,1617748,1534739,327836,319978,34957,33605,117108,113776,6470,6386,111649,107379,1720101,1633133,386739,377185,58579,56117,158067,152988,14510,13993,1649710,1574302,1128958,1066834,298206,291387,18101,17745,111148,108284,4379,4356,88918,85696,1210738,1145585,346019,337943,33374,32285,145467,141160,10370,10017,566058,541561,488790,467905,29630,28591,16856,15860,5960,5492,2091,2030,22731,21683,509363,487548,40720,39242,25205,23832,12600,11828,4140,3976
R,4.2,2020,15,4295105,2196774,2098331,1608652,1525530,321667,312189,34404,33054,119014,117979,6518,6187,106519,103392,1706126,1619968,376734,366127,57438,55372,158853,156062,14258,13729,1645001,1571020,1130668,1069300,293192,284703,18128,17313,113233,112496,4528,4340,85252,82868,1208997,1145216,337967,328734,33224,31961,146823,144626,10311,10037,551773,527311,477984,456230,28475,27486,16276,15741,5781,5483,1990,1847,21267,20524,497129,474752,38767,37393,24214,23411,12030,11436,3947,3692
R,4.2,2020,16,4331888,2213431,2118457,1629556,1547460,320504,312741,33547,32813,119905,119051,6281,5979,103638,100413,1724464,1639405,373643,364600,56511,55030,158447,156135,13875,13257,1670362,1596635,1158235,1094889,292729,286155,17879,17314,114212,113649,4393,4171,82914,80457,1234421,1168801,335973,328432,33022,32045,146646,144929,10091,9592,543069,521822,471321,452571,27775,26586,15668,15499,5693,5402,1888,1808,20724,19956,490043,470604,37670,36168,23489,22985,11801,11206,3784,3665
R,4.2,2020,17,4273342,2184149,2089193,1608821,1525894,317970,311248,33452,32081,119820,118903,6234,5891,97852,95176,1698032,1612686,367929,360050,55645,53770,156090,154047,13663,12974,1650663,1577231,1145201,1080568,290555,285447,17690,17174,114319,113686,4403,4130,78495,76226,1217010,1150348,331318,325286,32407,31565,144916,143191,9987,9503,533486,511962,463620,445326,27415,25801,15762,14907,5501,5217,1831,1761,19357,18950,481022,462338,36611,34764,23238,22205,11174,10856,3676,3471
