UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2022,999,332678177,164693448,167984729,125384585,126158606,21761793,23496460,2213163,2168318,9952281,10732913,443996,429931,4937630,4998501,129796622,130601669,24029596,25836843,3615501,3627438,11793946,12561665,871158,859091,132532800,136584292,97361927,98847122,20129298,21821532,1194708,1226404,9613405,10395843,319399,313314,3914063,3980077,100858857,102382655,21910838,23669885,2178506,2271236,11173125,11943598,653632,650662,32160648,31400437,28022658,27311484,1632495,1674928,1018455,941914,338876,337070,124597,116617,1023567,1018424,28937765,28219014,2118758,2166958,1436995,1356202,620821,618067,217526,208429
R,1,2022,0,3656661,1868769,1787892,1289554,1229730,302676,294549,34287,32819,107237,101392,7379,6976,127636,122426,1406943,1342304,373342,362485,58117,55733,154356,146429,16140,15292,1359762,1297085,878987,833461,263602,256623,12457,11894,99366,93950,4098,3940,101252,97217,972648,923359,320498,311378,27483,26389,138270,131175,10440,9980,509007,490807,410567,396269,39074,37926,21830,20925,7871,7442,3281,3036,26384,25209,434295,418945,52844,51107,30634,29344,16086,15254,5700,5312
R,1,2022,1,3626532,1854116,1772416,1273611,1214806,304083,294392,34465,33007,110849,104506,6961,6537,124147,119168,1387815,1324415,372936,360585,57532,55206,156656,148357,15448,14623,1355770,1293069,869437,826090,267308,258788,12898,12408,103187,97087,4218,3909,98722,94787,960767,913759,322857,312210,27501,26464,141101,133406,10392,9799,498346,479347,404174,388716,36775,35604,21567,20599,7662,7419,2743,2628,25425,24381,427048,410656,50079,48375,30031,28742,15555,14951,5056,4824
R,1,2022,2,3752519,1917526,1834993,1332717,1271781,301393,293862,35777,34399,116233,109309,7235,6800,124171,118842,1446871,1381021,369997,359712,58846,56617,162302,153159,15766,14862,1418208,1353328,926304,879367,265889,259506,14032,13604,108388,101860,4453,4180,99142,94811,1017926,966966,321378,312743,28768,27793,146727,138333,10743,10126,499318,481665,406413,392414,35504,34356,21745,20795,7845,7449,2782,2620,25029,24031,428945,414055,48619,46969,30078,28824,15575,14826,5023,4736
R,1,2022,3,3810635,1947039,1863596,1351926,1290232,305639,298364,36207,34795,120026,112945,7363,6948,125878,120312,1467636,1400807,375126,364975,59587,57258,166795,157394,16010,15129,1439067,1373555,938171,890611,269669,263518,14168,13754,112047,105384,4546,4289,100466,95999,1030996,979290,325808,317363,29084,28113,151004,142368,10927,10322,507972,490041,413755,399621,35970,34846,22039,21041,7979,7561,2817,2659,25412,24313,436640,421517,49318,47612,30503,29145,15791,15026,5083,4807
R,1,2022,4,3901136,1995916,1905220,1386325,1320530,311648,302947,36498,34400,126397,118528,7452,7057,127596,121758,1503540,1432449,381571,370301,60355,57250,174112,163410,16343,15399,1478391,1407216,960869,910767,276906,269277,14993,14312,118669,111110,4763,4438,102191,97312,1055180,1000648,333557,323842,30350,28981,158598,148508,11389,10597,517525,498004,425456,409763,34742,33670,21505,20088,7728,7418,2689,2619,25405,24446,448360,431801,48014,46459,30005,28269,15514,14902,4954,4802
R,1,2022,5,4014677,2052944,1961733,1437535,1369044,311266,304509,35992,34790,131206,122938,7564,7162,129381,123290,1556423,1482373,381292,371777,60485,58266,180101,168923,16664,15696,1521311,1450520,997235,945866,276552,270882,15787,15149,123365,115519,4840,4527,103532,98577,1092811,1036918,333154,325312,31621,30291,164299,153927,11622,10854,531633,511213,440300,423178,34714,33627,20205,19641,7841,7419,2724,2635,25849,24713,463612,445455,48138,46465,28864,27975,15802,14996,5042,4842
R,1,2022,6,4067578,2078817,1988761,1463909,1395208,315869,308176,35328,34084,127354,120175,7400,7168,128957,123950,1582475,1509163,385691,375919,60051,57741,175697,166196,16441,15772,1541486,1471156,1016392,964515,281506,274736,16107,15379,119608,112818,4669,4526,103204,99182,1111726,1056137,338025,329611,32126,30679,160030,151260,11400,10925,537331,517605,447517,430693,34363,33440,19221,18705,7746,7357,2731,2642,25753,24768,470749,453026,47666,46308,27925,27062,15667,14936,5041,4847
R,1,2022,7,4090612,2090211,2000401,1471401,1401743,317514,310371,35357,34583,130251,123446,7262,7083,128426,123175,1589438,1514951,386759,377428,60074,58331,178611,169210,16342,15668,1556854,1485780,1027146,973570,282790,276781,16333,15825,122897,116388,4698,4577,102990,98639,1122247,1064648,338827,331111,32448,31229,163492,154695,11493,11005,533357,514621,444255,428173,34724,33590,19024,18758,7354,7058,2564,2506,25436,24536,467191,450303,47932,46317,27626,27102,15119,14515,4849,4663
R,1,2022,8,4050288,2073367,1976921,1462043,1389068,317338,308134,35859,34447,124753,117783,6954,6651,126420,120838,1578196,1500038,385296,374056,60465,57912,172301,162531,16054,15158,1543395,1468795,1020148,965666,283020,275136,16752,15950,117759,111088,4544,4299,101172,96656,1113550,1054839,337963,328530,32806,31230,157536,148433,11286,10569,529972,508126,441895,423402,34318,32998,19107,18497,6994,6695,2410,2352,25248,24182,464646,445199,47333,45526,27659,26682,14765,14098,4768,4589
