UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,9,4101896,2104194,1997702,1499116,1418638,318923,308078,34605,33347,120078,113217,6736,6393,124736,118029,1613726,1526987,385696,371685,59506,57105,166697,156951,15775,14855,1558709,1474904,1037474,977026,286986,276868,17147,16230,113437,106881,4369,4129,99296,93770,1129114,1063496,340789,327993,33323,31648,152268,143262,11035,10340,545485,522798,461642,441612,31937,31210,17458,17117,6641,6336,2367,2264,25440,24259,484612,463491,44907,43692,26183,25457,14429,13689,4740,4515
R,7,2020,10,4188194,2145231,2042963,1537278,1457974,323833,312589,34167,33049,118770,113089,6473,6289,124710,119973,1652161,1568232,390764,377568,59272,57523,164715,156792,15303,14726,1583470,1505099,1058236,999310,292396,282446,17320,16994,112377,107050,4349,4189,98792,95110,1149638,1087081,346127,334512,33433,32888,150544,143431,10865,10363,561761,537864,479042,458664,31437,30143,16847,16055,6393,6039,2124,2100,25918,24863,502523,481151,44637,43056,25839,24635,14171,13361,4438,4363
R,7,2020,11,4278216,2190450,2087766,1575673,1494824,332872,322381,34477,33139,117799,112940,6524,6466,123105,118016,1688793,1603417,399097,386593,59440,56645,162758,155577,15159,14771,1620329,1542626,1087741,1028476,301359,291865,17888,17308,111339,106872,4395,4374,97607,93731,1177808,1115103,354683,343708,33926,32372,148764,142473,10772,10511,570121,545140,487932,466348,31513,30516,16589,15831,6460,6068,2129,2092,25498,24285,510985,488314,44414,42885,25514,24273,13994,13104,4387,4260
R,7,2020,12,4441701,2275045,2166656,1639891,1554111,345487,334898,36142,34496,122720,117358,6780,6520,124025,119273,1753764,1663611,412141,400094,61191,58587,167962,160147,15718,14779,1681835,1601702,1130377,1069737,313106,303677,18696,18070,116374,111227,4614,4331,98668,94660,1221312,1156952,367073,356366,34872,33474,154156,146859,11200,10440,593210,564954,509514,484374,32381,31221,17446,16426,6346,6131,2166,2189,25357,24613,532452,506659,45068,43728,26319,25113,13806,13288,4518,4339
R,7,2020,13,4431927,2270559,2161368,1643828,1559313,343730,331268,36448,34511,120493,114494,6685,6568,119375,115214,1753462,1664896,407583,393558,61002,58289,164073,155912,15313,14861,1681596,1598757,1137543,1075381,312011,300903,18572,18091,114053,108536,4577,4400,94840,91446,1225014,1159469,363584,351353,34450,33336,150328,143090,10966,10513,588963,562611,506285,483932,31719,30365,17876,16420,6440,5958,2108,2168,24535,23768,528448,505427,43999,42205,26552,24953,13745,12822,4347,4348
R,7,2020,14,4354298,2227836,2126462,1624301,1541273,330305,322349,35265,33772,117999,114103,6533,6304,113433,108661,1728404,1640948,390119,380229,59112,56502,159788,153657,14708,14090,1656438,1579475,1130950,1069276,300379,293212,18305,17765,111903,108494,4446,4271,90455,86457,1214239,1148859,348940,340242,33757,32417,146952,141513,10533,10008,571398,546987,493351,471997,29926,29137,16960,16007,6096,5609,2087,2033,22978,22204,514165,492089,41179,39987,25355,24085,12836,12144,4175,4082
R,7,2020,15,4308058,2203345,2104713,1612301,1529582,323611,313938,34599,33532,118479,117059,6503,6275,107852,104327,1711023,1624898,379741,368755,57897,55887,158501,155308,14312,13777,1646775,1573199,1130802,1070014,294701,286121,18093,17597,112676,111583,4464,4386,86039,83498,1209848,1146527,340237,330821,33216,32106,146331,143837,10279,10030,556570,531514,481499,459568,28910,27817,16506,15935,5803,5476,2039,1889,21813,20829,501175,478371,39504,37934,24681,23781,12170,11471,4033,3747
R,7,2020,16,4329451,2212945,2116506,1627357,1544365,321313,312949,33871,32921,119747,118986,6320,6020,104337,101265,1722895,1637012,374860,365507,56721,55144,158691,156343,13980,13421,1667335,1592370,1153971,1089907,293350,286129,18025,17387,114039,113615,4427,4187,83523,81145,1230736,1164344,336935,329006,33086,32163,146847,145097,10181,9698,545610,524136,473386,454458,27963,26820,15846,15534,5708,5371,1893,1833,20814,20120,492159,472668,37925,36501,23635,22981,11844,11246,3799,3723
R,7,2020,17,4288353,2191386,2096967,1614459,1532265,317597,310685,33491,32088,120283,119464,6265,6007,99291,96458,1705079,1620424,368308,359954,55932,54031,157149,155201,13747,13033,1656076,1582485,1149436,1084991,290169,284821,17662,17028,114759,114130,4384,4219,79666,77296,1222383,1155892,331523,325002,32549,31614,145906,144219,10015,9569,535310,514482,465023,447274,27428,25864,15829,15060,5524,5334,1881,1788,19625,19162,482696,464532,36785,34952,23383,22417,11243,10982,3732,3464
R,7,2020,18,4269695,2181290,2088405,1605874,1525099,321771,315066,33359,31648,118850,117376,6037,5829,95399,93387,1692908,1610013,370250,363144,55548,53730,154004,151231,13167,12823,1653268,1583493,1146573,1085653,294789,289406,17831,17122,113513,112317,4262,4069,76300,74926,1216401,1154051,334306,328681,32464,31899,143083,140817,9703,9399,528022,504912,459301,439446,26982,25660,15528,14526,5337,5059,1775,1760,19099,18461,476507,455962,35944,34463,23084,21831,10921,10414,3464,3424
