UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2021,999,331794226,164324895,167469331,125447933,126111790,21651266,23363527,2186343,2139335,9787003,10554555,436579,421731,4815771,4878393,129746497,130443233,23849459,25636027,3570940,3580375,11581577,12336734,856171,843423,132614645,136551081,97772057,99177494,20059176,21729632,1192536,1222623,9455740,10225152,314983,308196,3820153,3887984,101180919,102626870,21786809,23525637,2167481,2258518,10976364,11734280,643959,640320,31710250,30918250,27675876,26934296,1592090,1633895,993807,916712,331263,329403,121596,113535,995618,990409,28565578,27816363,2062650,2110390,1403459,1321857,605213,602454,212212,203103
R,1,2021,0,3614649,1848202,1766447,1270964,1212304,303524,293658,34295,32794,108592,102293,6897,6485,123930,118913,1384973,1321686,372307,359785,57324,54944,154264,145982,15377,14557,1352566,1289664,868994,825641,266933,258197,12907,12413,100960,94915,4168,3870,98604,94628,960221,913173,322479,311605,27512,26467,138747,131080,10337,9752,495636,476783,401970,386663,36591,35461,21388,20381,7632,7378,2729,2615,25326,24285,424752,408513,49828,48180,29812,28477,15517,14902,5040,4805
R,1,2021,1,3739954,1911215,1828739,1329783,1268973,300589,293024,35587,34204,114159,107191,7194,6757,123903,118590,1443698,1377990,369095,358798,58610,56377,160073,150879,15715,14807,1414705,1349754,925644,878760,265271,258815,14037,13605,106349,99779,4420,4145,98984,94650,1017128,966216,320736,312029,28772,27792,144544,136101,10704,10083,496510,478985,404139,390213,35318,34209,21550,20599,7810,7412,2774,2612,24919,23940,426570,411774,48359,46769,29838,28585,15529,14778,5011,4724
R,1,2021,2,3798440,1940965,1857475,1348929,1287282,304816,297424,35982,34582,118333,111192,7329,6910,125576,120085,1464365,1397652,374181,363956,59308,57007,164943,155509,15960,15081,1435801,1370172,937411,889902,269022,262722,14172,13750,110390,103670,4514,4262,100292,95866,1030085,978463,325131,316545,29078,28110,149201,140534,10883,10290,505164,487303,411518,397380,35794,34702,21810,20832,7943,7522,2815,2648,25284,24219,434280,419189,49050,47411,30230,28897,15742,14975,5077,4791
R,1,2021,3,3889430,1990032,1899398,1383287,1317610,310851,302012,36252,34204,124903,117073,7417,7035,127322,121464,1500249,1429262,380664,369242,60063,56988,172481,161817,16289,15359,1475292,1404171,960063,910086,276257,268479,14996,14312,117196,109701,4731,4422,102049,97171,1054246,999845,332887,323014,30350,28979,157002,146978,11345,10568,514740,495227,423224,407524,34594,33533,21256,19892,7707,7372,2686,2613,25273,24293,446003,429417,47777,46228,29713,28009,15479,14839,4944,4791
R,1,2021,4,4003738,2047408,1956330,1434628,1366256,310468,303646,35774,34625,129862,121665,7523,7139,129153,122999,1553308,1479322,380397,370796,60224,58036,178651,167515,16609,15651,1518418,1447729,996452,945214,275906,270163,15788,15152,122045,114265,4809,4504,103418,98431,1091926,1036136,332484,324561,31624,30293,162882,152550,11582,10816,528990,508601,438176,421042,34562,33483,19986,19473,7817,7400,2714,2635,25735,24568,461382,443186,47913,46235,28600,27743,15769,14965,5027,4835
R,1,2021,5,4057113,2073530,1983583,1461127,1392522,315050,307360,35123,33880,126169,119024,7355,7111,128706,123686,1579463,1506238,384770,374992,59787,57482,174398,164916,16381,15697,1538859,1468592,1015730,963927,280843,274075,16108,15382,118455,111687,4636,4472,103087,99049,1110960,1055434,337341,328920,32126,30678,158775,150016,11358,10859,534671,514991,445397,428595,34207,33285,19015,18498,7714,7337,2719,2639,25619,24637,468503,450804,47429,46072,27661,26804,15623,14900,5023,4838
R,1,2021,6,4080727,2085222,1995505,1468730,1399203,316695,309526,35172,34375,129208,122413,7237,7037,128180,122951,1586552,1512213,385832,376492,59838,58069,177448,168067,16301,15609,1554399,1483420,1026521,973029,282100,276113,16335,15828,121892,115370,4677,4537,102874,98543,1121524,1064028,338115,330423,32447,31231,162384,153591,11464,10957,530823,512085,442209,426174,34595,33413,18837,18547,7316,7043,2560,2500,25306,24408,465028,448185,47717,46069,27391,26838,15064,14476,4837,4652
R,1,2021,7,4040609,2068409,1972200,1459391,1386534,316475,307326,35687,34263,123733,116825,6939,6610,126184,120642,1575327,1497333,384329,373168,60237,57681,171174,161475,16032,15103,1540947,1466536,1019513,965105,282314,274501,16747,15953,116765,110150,4530,4265,101078,96562,1112825,1054204,337244,327877,32803,31230,156458,147412,11268,10524,527462,505664,439878,421429,34161,32825,18940,18310,6968,6675,2409,2345,25106,24080,462502,443129,47085,45291,27434,26451,14716,14063,4764,4579
R,1,2021,8,4069005,2079227,1989778,1466702,1399400,316541,308048,35338,34170,128129,121136,7047,6805,125470,120219,1581888,1509741,383579,372947,59862,57773,175672,166074,16159,15457,1549556,1478061,1023638,971518,282819,275511,16832,16183,121263,114348,4611,4392,100393,96109,1116208,1060141,336943,327966,32825,31580,161124,151896,11380,10793,529671,511717,443064,427882,33722,32537,18506,17987,6866,6788,2436,2413,25077,24110,465680,449600,46636,44981,27037,26193,14548,14178,4779,4664
R,1,2021,9,4080786,2091566,1989220,1485515,1408392,317810,307539,35747,34463,121218,114336,6771,6491,124505,117999,1599867,1516690,384666,371166,60462,57967,167756,158264,15756,14971,1552708,1472536,1033111,974851,284492,275545,17021,16119,114441,107843,4347,4149,99296,94029,1124735,1061562,338403,326824,33118,31393,153256,144458,10982,10387,538858,516684,452404,433541,33318,31994,18726,18344,6777,6493,2424,2342,25209,23970,475132,455128,46263,44342,27344,26574,14500,13806,4774,4584
R,1,2021,10,4172843,2138973,2033870,1528381,1448849,324048,312610,34180,33031,119804,113552,6659,6270,125901,119558,1644189,1558716,391448,377150,59527,57384,166521,157390,15687,14713,1580385,1498780,1053005,993643,292637,281883,17197,16734,113242,107476,4394,4169,99910,94875,1145293,1081170,346754,333666,33543,32525,152139,144024,11053,10408,558588,535090,475376,455206,31411,30727,16983,16297,6562,6076,2265,2101,25991,24683,498896,477546,44694,43484,25984,24859,14382,13366,4634,4305
R,1,2021,11,4213719,2157653,2056066,1549063,1469273,326457,315722,34281,32916,117777,112651,6491,6341,123584,119163,1662840,1578798,392896,380507,59050,56886,163298,155952,15154,14750,1594218,1516490,1067549,1008584,295199,285438,17777,17134,111420,106543,4400,4251,97873,94540,1158092,1095844,348604,337511,33673,32646,149191,142605,10787,10443,563435,539576,481514,460689,31258,30284,16504,15782,6357,6108,2091,2090,25711,24623,504748,482954,44292,42996,25377,24240,14107,13347,4367,4307
R,1,2021,12,4390673,2249098,2141575,1619006,1534291,343292,332025,35350,33643,120409,115311,6723,6586,124318,119719,1733248,1644359,410260,397363,60388,57582,165596,158273,15587,14936,1664260,1583785,1117621,1056326,310850,301087,18342,17679,113973,109166,4563,4429,98911,95098,1208791,1144172,365021,353975,34515,32947,151750,144989,11109,10541,584838,557790,501385,477965,32442,30938,17008,15964,6436,6145,2160,2157,25407,24621,524457,500187,45239,43388,25873,24635,13846,13284,4478,4395
R,1,2021,13,4440732,2274768,2165964,1643713,1558440,343628,332780,36140,34853,122834,116552,6749,6560,121704,116779,1755430,1665559,408884,396257,61094,58736,167203,158550,15487,14820,1682696,1600742,1134949,1073012,311574,301966,18508,18228,116417,110629,4592,4375,96656,92532,1224064,1158159,364270,353134,34577,33522,153396,145588,11094,10462,592072,565222,508764,485428,32054,30814,17632,16625,6417,5923,2157,2185,25048,24247,531366,507400,44614,43123,26517,25214,13807,12962,4393,4358
R,1,2021,14,4396885,2251265,2145620,1633922,1551796,338516,327157,36095,34034,119286,113940,6533,6380,116913,112313,1741206,1654818,400493,387528,60360,57369,162321,154346,15036,14423,1669846,1589214,1133122,1072808,307699,297119,18496,17762,112983,108078,4484,4271,93062,89176,1218845,1154881,357892,346139,34173,32755,148939,141761,10760,10197,581419,556406,500800,478988,30817,30038,17599,16272,6303,5862,2049,2109,23851,23137,522361,499937,42601,41389,26187,24614,13382,12585,4276,4226
R,1,2021,15,4324877,2212424,2112453,1617348,1533031,325571,317628,34953,33838,117762,115517,6512,6417,110278,106022,1718412,1630088,383344,373696,58454,56238,158505,154497,14457,13968,1648136,1573550,1129760,1067345,296171,289275,18136,17817,111922,110034,4388,4400,87759,84679,1210469,1145080,343016,334885,33318,32278,146110,142801,10277,10057,564288,538903,487588,465686,29400,28353,16817,16021,5840,5483,2124,2017,22519,21343,507943,485008,40328,38811,25136,23960,12395,11696,4180,3911
R,1,2021,16,4311449,2203998,2107451,1615480,1533566,322060,312965,34353,32913,119857,118923,6463,6134,105785,102950,1712311,1627653,376843,366680,57291,55264,159251,156764,14167,13596,1653333,1580177,1138202,1077033,293636,285723,18165,17201,114038,113431,4530,4305,84762,82484,1216103,1152625,338169,329533,33282,31913,147230,145399,10297,9912,550665,527274,477278,456533,28424,27242,16188,15712,5819,5492,1933,1829,21023,20466,496208,475028,38674,37147,24009,23351,12021,11365,3870,3684
R,1,2021,17,4316010,2205502,2110508,1624422,1541568,319047,311492,33376,32611,120298,119716,6269,5939,102090,99182,1717819,1632270,371254,362553,56132,54687,158292,156460,13826,13221,1664821,1591067,1155022,1090843,291353,285062,17696,17215,114689,114324,4389,4172,81672,79451,1229981,1163761,333858,326715,32688,31892,146710,145189,10079,9651,540681,519441,469400,450725,27694,26430,15680,15396,5609,5392,1880,1767,20418,19731,487838,468509,37396,35838,23444,22795,11582,11271,3747,3570
R,1,2021,18,4287984,2190584,2097400,1612060,1530463,319860,314063,33653,32177,121319,120080,6216,5978,97476,94639,1700952,1616679,369430,362570,56031,54007,157436,154845,13597,13005,1656495,1585331,1147897,1084813,292493,288283,17805,17250,115773,114973,4402,4189,78125,75823,1219345,1154165,332927,327843,32614,31749,146225,144247,10005,9512,534089,512069,464163,445650,27367,25780,15848,14927,5546,5107,1814,1789,19351,18816,481607,462514,36503,34727,23417,22258,11211,10598,3592,3493
R,1,2021,19,4307950,2200694,2107256,1618899,1538982,325251,318564,33411,31549,121628,119285,6012,5851,95493,93025,1705883,1623667,373790,366214,55957,53761,156638,152973,13142,12836,1673350,1603424,1160048,1100020,298346,293189,17956,17253,116429,114224,4245,4068,76326,74670,1229743,1168230,337812,332180,32960,32165,145940,142676,9684,9388,527344,503832,458851,438962,26905,25375,15455,14296,5199,5061,1767,1783,19167,18355,476140,455437,35978,34034,22997,21596,10698,10297,3458,3448
R,1,2021,20,4390383,2242283,2148100,1642635,1561091,336737,330439,33836,32453,128230,126338,6154,5980,94691,91799,1728767,1644344,384395,377329,56802,54679,163084,159636,13271,12935,1713331,1643694,1181569,1121903,310096,304827,18440,17714,122906,121309,4430,4198,75890,73743,1250699,1188988,348888,343091,33875,32856,152429,149407,9875,9464,528952,504406,461066,439188,26641,25612,15396,14739,5324,5029,1724,1782,18801,18056,478068,455356,35507,34238,22927,21823,10655,10229,3396,3471
R,1,2021,21,4278709,2183769,2094940,1604930,1527801,327680,321782,32910,31712,121988,120181,6052,5705,90209,87759,1686874,1607204,373389,366775,55443,53572,154205,151388,13030,12493,1674216,1607595,1160537,1103059,301910,297052,18174,17666,116926,115359,4317,4078,72352,70381,1226425,1166838,339187,333864,33499,32584,144189,141605,9645,9278,509553,487345,444393,424742,25770,24730,14736,14046,5062,4822,1735,1627,17857,17378,460449,440366,34202,32911,21944,20988,10016,9783,3385,3215
R,1,2021,22,4296653,2189984,2106669,1608746,1534266,329077,324795,32620,31806,124563,123638,6019,5660,88959,86504,1689305,1612646,373400,368676,55063,54039,156566,154159,13133,12262,1685309,1622939,1168535,1112416,303507,300428,18023,17639,119435,118802,4337,4051,71472,69603,1233404,1175621,339703,336344,33396,33039,146513,144516,9843,9172,504675,483730,440211,421850,25570,24367,14597,14167,5128,4836,1682,1609,17487,16901,455901,437025,33697,32332,21667,21000,10053,9643,3290,3090
R,1,2021,23,4249590,2165018,2084572,1584767,1514541,324986,320633,32146,31203,132220,129392,6058,5632,84841,83171,1661524,1589677,366817,362193,54244,53024,162832,159008,12680,12009,1672223,1612412,1154527,1102236,300534,297058,17650,17536,127182,124635,4381,4071,67949,66876,1216112,1162711,334502,331032,32896,32724,153040,149690,9491,8990,492795,472160,430240,412305,24452,23575,14496,13667,5038,4757,1677,1561,16892,16295,445412,426966,32315,31161,21348,20300,9792,9318,3189,3019
R,1,2021,24,4297713,2187661,2110052,1603918,1532995,323859,321957,32239,31129,138156,136539,6210,5742,83279,81690,1679228,1606552,364163,362202,54521,53062,168328,165777,12851,12350,1694516,1639425,1172774,1121736,299576,298927,17848,17364,133309,131785,4473,4140,66536,65473,1233071,1180765,332115,331676,33042,32544,158977,156520,9624,9290,493145,470627,431144,411259,24283,23030,14391,13765,4847,4754,1737,1602,16743,16217,446157,425787,32048,30526,21479,20518,9351,9257,3227,3060
